session_id;user_id;timestamp_utc;event_index;user_action;product_id;category;brand;price;channel;device_type;region;traffic_source;time_spent_sec;session_length;interaction_count;is_conversion;drop_off_flag
S0000001;U000372;2026-01-08T02:34:40Z;1;view;P1481;Electronics;Samsung;316.55;mobile;desktop;JP;organic;25;4;1;0;0
S0000001;U000372;2026-01-08T02:35:20Z;2;wishlist;P1481;Electronics;Samsung;316.55;mobile;desktop;JP;organic;28;4;2;0;0
S0000001;U000372;2026-01-08T02:35:43Z;3;view;P1481;Electronics;Samsung;316.55;mobile;desktop;JP;organic;5;4;3;0;0
S0000001;U000372;2026-01-08T02:36:13Z;4;drop;P1481;Electronics;Samsung;316.55;mobile;desktop;JP;organic;16;4;4;0;1
S0000002;U004812;2026-01-29T11:07:27Z;1;view;P1836;Groceries;OrganicCo;212.37;mobile;tablet;UK;direct;15;4;1;0;0
S0000002;U004812;2026-01-29T11:07:40Z;2;add_to_cart;P1836;Groceries;OrganicCo;212.37;mobile;tablet;UK;direct;6;4;2;0;0
S0000002;U004812;2026-01-29T11:08:00Z;3;view;P1836;Groceries;OrganicCo;212.37;mobile;tablet;UK;direct;5;4;3;0;0
S0000002;U004812;2026-01-29T11:08:49Z;4;drop;P1836;Groceries;OrganicCo;212.37;mobile;tablet;UK;direct;34;4;4;0;1
S0000003;U001935;2026-03-08T08:35:30Z;1;view;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;27;6;1;0;0
S0000003;U001935;2026-03-08T08:35:51Z;2;click;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;14;6;2;0;0
S0000003;U001935;2026-03-08T08:36:31Z;3;add_to_cart;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;20;6;3;0;0
S0000003;U001935;2026-03-08T08:36:47Z;4;add_to_cart;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;15;6;4;0;0
S0000003;U001935;2026-03-08T08:37:11Z;5;add_to_cart;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;22;6;5;0;0
S0000003;U001935;2026-03-08T08:37:46Z;6;purchase;P1816;Groceries;FreshFarm;261.82;web;android;AU;organic;24;6;6;1;0
S0000004;U001996;2026-01-24T06:10:24Z;1;view;P2136;Sports;Adidas;42.68;app;desktop;IN;affiliate;17;3;1;0;0
S0000004;U001996;2026-01-24T06:11:07Z;2;view;P1478;Electronics;Samsung;279.16;app;desktop;IN;affiliate;32;3;2;0;0
S0000004;U001996;2026-01-24T06:11:38Z;3;drop;P1303;Accessories;Coach;272.61;app;desktop;IN;affiliate;11;3;3;0;1
S0000005;U000024;2026-02-20T19:25:41Z;1;view;P1358;Accessories;Puma;294.96;web;android;CA;affiliate;36;4;1;0;0
S0000005;U000024;2026-02-20T19:25:55Z;2;view;P1358;Accessories;Puma;294.96;web;android;CA;affiliate;13;4;2;0;0
S0000005;U000024;2026-02-20T19:26:06Z;3;wishlist;P1734;Beauty;Olay;263.92;web;android;CA;affiliate;3;4;3;0;0
S0000005;U000024;2026-02-20T19:26:20Z;4;drop;P1664;Beauty;Olay;122.43;web;android;CA;affiliate;13;4;4;0;1
S0000006;U001428;2026-02-18T15:24:11Z;1;view;P2032;Home;Mainstays;300.15;web;tablet;CA;direct;3;7;1;0;0
S0000006;U001428;2026-02-18T15:25:10Z;2;click;P1089;Shoes;Puma;444.17;web;tablet;CA;direct;42;7;2;0;0
S0000006;U001428;2026-02-18T15:25:37Z;3;click;P1089;Shoes;Puma;444.17;web;tablet;CA;direct;17;7;3;0;0
S0000006;U001428;2026-02-18T15:26:01Z;4;click;P1089;Shoes;Puma;444.17;web;tablet;CA;direct;9;7;4;0;0
S0000006;U001428;2026-02-18T15:26:20Z;5;click;P1089;Shoes;Puma;444.17;web;tablet;CA;direct;18;7;5;0;0
S0000006;U001428;2026-02-18T15:26:52Z;6;view;P1125;Shoes;New Balance;117.83;web;tablet;CA;direct;16;7;6;0;0
S0000006;U001428;2026-02-18T15:27:16Z;7;drop;P1823;Groceries;FreshFarm;170.08;web;tablet;CA;direct;10;7;7;0;1
S0000007;U005621;2026-01-20T23:41:54Z;1;view;P1660;Beauty;Dove;287.54;mobile;desktop;JP;organic;36;6;1;0;0
S0000007;U005621;2026-01-20T23:42:26Z;2;click;P1660;Beauty;Dove;287.54;mobile;desktop;JP;organic;21;6;2;0;0
