session_id,user_id,timestamp_utc,event_index,user_action,product_id,category,brand,price,channel,device_type,region,traffic_source,time_spent_sec,session_length,interaction_count,is_conversion,drop_off_flag
S2-71B239A487B0,U-43741,2024-03-05 14:36:21,17,purchase,P-7333,Apparel,Adidas,126.96,app,ios,AU,email,162.0,3477.1,31,true,false
S2-75531BE101DF,U-57065,2024-03-02 07:33:32,15,add_to_cart,P-4965,Beauty,Spalding,69.51,web,android,US,affiliate,347.2,729.7,47,false,false
S2-AD6D01CBE4E2,U-76624,2024-03-01 11:37:24,18,purchase,P-5142,Beauty,Fitbit,79.61,mobile,android,IN,referral,447.8,2789.9,39,true,false
S2-77E58E4E7512,U-44287,2024-03-07 07:51:35,12,add_to_cart,P-9727,Apparel,Spalding,101.95,web,tablet,UK,social,314.0,818.7,8,false,false
S2-77B3CF15989D,U-32320,2024-03-05 04:28:00,18,add_to_cart,P-2356,Electronics,Coach,435.34,web,tablet,FR,organic,551.5,148.5,17,false,false
S2-FF8427BDEE80,U-66575,2024-03-05 07:13:22,6,add_to_cart,P-3894,Shoes,Loreal,323.92,mobile,ios,CA,social,472.1,1258.3,26,false,false
S2-F97F9F8E2B5F,U-44635,2024-03-04 02:23:01,2,click,P-3300,Accessories,Target,224.35,app,desktop,JP,affiliate,274.9,2055.4,45,false,false
S2-14CEA9CA1F6C,U-16119,2024-03-02 17:21:40,20,purchase,P-4842,Accessories,Mainstays,119.83,mobile,ios,UK,email,528.2,1128.4,40,true,false
S2-B548C68A14F9,U-54920,2024-03-05 02:36:31,18,add_to_cart,P-1854,Groceries,Dove,21.26,app,android,JP,affiliate,88.1,3495.9,8,false,false
S2-96D67A46429B,U-18675,2024-03-04 18:33:48,10,wishlist,P-9031,Shoes,Bose,57.66,mobile,android,US,paid_search,280.2,2128.2,43,false,false
S2-F8744C3D9063,U-13117,2024-03-06 22:44:58,18,add_to_cart,P-4101,Shoes,Fossil,33.49,app,tablet,FR,email,434.8,419.3,34,false,false
S2-8EFA0BB12228,U-36852,2024-03-04 21:57:57,3,add_to_cart,P-2682,Shoes,Bose,287.01,app,android,DE,direct,219.3,418.4,6,false,false
S2-925EC119B942,U-45115,2024-03-01 12:40:51,9,add_to_cart,P-4450,Home,Fossil,183.18,web,android,JP,direct,267.1,3117.3,4,false,false
S2-F47325E87120,U-90485,2024-03-07 14:33:28,9,click,P-5816,Groceries,Fitbit,15.85,mobile,tablet,US,referral,258.5,867.2,37,false,true
S2-7903156D48A1,U-87936,2024-03-06 12:54:58,19,click,P-8566,Sports,Target,346.03,app,ios,CA,affiliate,557.8,2257.3,32,false,false
S2-B538CD48F228,U-62152,2024-03-04 05:59:38,1,purchase,P-3278,Home,Coach,456.95,mobile,tablet,JP,social,275.8,1362.3,8,true,false
S2-8470E817213C,U-82155,2024-03-07 13:26:56,4,purchase,P-3864,Home,Asics,391.12,web,ios,FR,affiliate,305.9,1574.3,13,true,false
